
#   "253" UNIHAN

0xAB21	0x51CD	# 凍 -- 253,041
0xAB22	0x5C4D	# 屍 -- 253,042
0xAB23	0x84B2	# 蒲 -- 253,043
0xAB24	0x6469	# 摩 -- 253,044
0xAB25	0x96B1	# 隱 -- 253,045
0xAB26	0x9BAE	# 鮮 -- 253,046
0xAB27	0x9452	# 鑒 -- 253,047
0xAB28	0x9B4F	# 魏 -- 253,050
0xAB29	0x827E	# 艾 -- 253,051
0xAB2A	0x68B3	# 梳 -- 253,052
0xAB2B	0x9A62	# 驢 -- 253,053
0xAB2C	0x5B85	# 宅 -- 253,054
0xAB2D	0x723D	# 爽 -- 253,055
0xAB2E	0x5925	# 夥 -- 253,056
0xAB2F	0x8A8C	# 誌 -- 253,057
0xAB30	0x8271	# 艱 -- 253,060
0xAB31	0x99B3	# 馳 -- 253,061
0xAB32	0x8CFA	# 賺 -- 253,062
0xAB33	0x50B2	# 傲 -- 253,063
0xAB34	0x7CBD	# 粽 -- 253,064
0xAB35	0x8DDD	# 距 -- 253,065
0xAB36	0x7E6B	# 繫 -- 253,066
0xAB37	0x7344	# 獄 -- 253,067
0xAB38	0x8FB0	# 辰 -- 253,070
0xAB39	0x8F14	# 輔 -- 253,071
0xAB3A	0x682A	# 株 -- 253,072
0xAB3B	0x5B5F	# 孟 -- 253,073
0xAB3C	0x6D1B	# 洛 -- 253,074
0xAB3D	0x7051	# 灑 -- 253,075
0xAB3E	0x51A4	# 冤 -- 253,076
0xAB3F	0x5609	# 嘉 -- 253,077
0xAB40	0x5EFF	# 廿 -- 253,100
0xAB41	0x6602	# 昂 -- 253,101
0xAB42	0x6BBF	# 殿 -- 253,102
0xAB43	0x72AC	# 犬 -- 253,103
0xAB44	0x617E	# 慾 -- 253,104
0xAB45	0x8CA9	# 販 -- 253,105
0xAB46	0x578B	# 型 -- 253,106
0xAB47	0x6398	# 掘 -- 253,107
0xAB48	0x8C4E	# 豎 -- 253,110
0xAB49	0x6316	# 挖 -- 253,111
0xAB4A	0x99F1	# 駱 -- 253,112
0xAB4B	0x82B3	# 芳 -- 253,113
0xAB4C	0x905E	# 遞 -- 253,114
0xAB4D	0x66A2	# 暢 -- 253,115
0xAB4E	0x557C	# 啼 -- 253,116
0xAB4F	0x888D	# 袍 -- 253,117
0xAB50	0x4E10	# 丐 -- 253,120
0xAB51	0x8CFC	# 購 -- 253,121
0xAB52	0x60F0	# 惰 -- 253,122
0xAB53	0x5B8F	# 宏 -- 253,123
0xAB54	0x8650	# 虐 -- 253,124
0xAB55	0x582A	# 堪 -- 253,125
0xAB56	0x932B	# 錫 -- 253,126
0xAB57	0x83CA	# 菊 -- 253,127
0xAB58	0x679A	# 枚 -- 253,130
0xAB59	0x81ED	# 臭 -- 253,131
0xAB5A	0x6DCB	# 淋 -- 253,132
0xAB5B	0x8E22	# 踢 -- 253,133
0xAB5C	0x7AFD	# 竽 -- 253,134
0xAB5D	0x539A	# 厚 -- 253,135
0xAB5E	0x8517	# 蔗 -- 253,136
0xAB5F	0x7FFC	# 翼 -- 253,137
0xAB60	0x5CFD	# 峽 -- 253,140
0xAB61	0x760B	# 瘋 -- 253,141
0xAB62	0x79E6	# 秦 -- 253,142
0xAB63	0x87F9	# 蟹 -- 253,143
0xAB64	0x95A5	# 閥 -- 253,144
0xAB65	0x662D	# 昭 -- 253,145
0xAB66	0x540A	# 吊 -- 253,146
0xAB67	0x9952	# 饒 -- 253,147
0xAB68	0x5431	# 吱 -- 253,150
0xAB69	0x8017	# 耗 -- 253,151
0xAB6A	0x8A62	# 詢 -- 253,152
0xAB6B	0x6AC3	# 櫃 -- 253,153
0xAB6C	0x7D8F	# 綏 -- 253,154
0xAB6D	0x56B7	# 嚷 -- 253,155
0xAB6E	0x61C7	# 懇 -- 253,156
0xAB6F	0x64F2	# 擲 -- 253,157
0xAB70	0x8859	# 衙 -- 253,160
0xAB71	0x54B3	# 咳 -- 253,161
0xAB72	0x5766	# 坦 -- 253,162
0xAB73	0x9675	# 陵 -- 253,163
0xAB74	0x75F0	# 痰 -- 253,164
0xAB75	0x68D7	# 棗 -- 253,165
0xAB76	0x5C46	# 屆 -- 253,166
0xAB77	0x8A93	# 誓 -- 253,167
0xAB78	0x8766	# 蝦 -- 253,170
0xAB79	0x7D10	# 紐 -- 253,171
0xAB7A	0x745E	# 瑞 -- 253,172
0xAB7B	0x6566	# 敦 -- 253,173
0xAB7C	0x6FB3	# 澳 -- 253,174
0xAB7D	0x5351	# 卑 -- 253,175
0xAB7E	0x75BC	# 疼 -- 253,176
0xABA1	0x664F	# 晏 -- 253,241
0xABA2	0x75C7	# 症 -- 253,242
0xABA3	0x6E9D	# 溝 -- 253,243
0xABA4	0x60F9	# 惹 -- 253,244
0xABA5	0x755D	# 畝 -- 253,245
0xABA6	0x6168	# 慨 -- 253,246
0xABA7	0x53A6	# 厦 -- 253,247
0xABA8	0x8DA8	# 趨 -- 253,250
0xABA9	0x5F77	# 彷 -- 253,251
0xABAA	0x4E11	# 丑 -- 253,252
0xABAB	0x80BA	# 肺 -- 253,253
0xABAC	0x7126	# 焦 -- 253,254
0xABAD	0x8DEA	# 跪 -- 253,255
0xABAE	0x7E1B	# 縛 -- 253,256
0xABAF	0x6020	# 怠 -- 253,257
0xABB0	0x9ECE	# 黎 -- 253,260
0xABB1	0x5761	# 坡 -- 253,261
0xABB2	0x6F02	# 漂 -- 253,262
0xABB3	0x5A62	# 婢 -- 253,263
0xABB4	0x6C27	# 氧 -- 253,264
0xABB5	0x6089	# 悉 -- 253,265
0xABB6	0x62BC	# 押 -- 253,266
0xABB7	0x7965	# 祥 -- 253,267
0xABB8	0x77AD	# 瞭 -- 253,270
0xABB9	0x586B	# 填 -- 253,271
0xABBA	0x76FC	# 盼 -- 253,272
0xABBB	0x7830	# 砰 -- 253,273
0xABBC	0x9756	# 靖 -- 253,274
0xABBD	0x53E8	# 叨 -- 253,275
0xABBE	0x88D5	# 裕 -- 253,276
0xABBF	0x5ACC	# 嫌 -- 253,277
0xABC0	0x633D	# 挽 -- 253,300
0xABC1	0x8F2F	# 輯 -- 253,301
0xABC2	0x8B20	# 謠 -- 253,302
0xABC3	0x6F32	# 漲 -- 253,303
0xABC4	0x8B0A	# 謊 -- 253,304
0xABC5	0x8CEC	# 賬 -- 253,305
0xABC6	0x6FF1	# 濱 -- 253,306
0xABC7	0x9B42	# 魂 -- 253,307
0xABC8	0x58D8	# 壘 -- 253,310
0xABC9	0x5B0C	# 嬌 -- 253,311
0xABCA	0x821F	# 舟 -- 253,312
0xABCB	0x5F4E	# 彎 -- 253,313
0xABCC	0x9AD2	# 髒 -- 253,314
0xABCD	0x5967	# 奧 -- 253,315
0xABCE	0x5BE8	# 寨 -- 253,316
0xABCF	0x5100	# 儀 -- 253,317
0xABD0	0x5238	# 券 -- 253,320
0xABD1	0x81DF	# 臟 -- 253,321
0xABD2	0x84EC	# 蓬 -- 253,322
0xABD3	0x886B	# 衫 -- 253,323
0xABD4	0x6367	# 捧 -- 253,324
0xABD5	0x6687	# 暇 -- 253,325
0xABD6	0x540B	# 吋 -- 253,326
0xABD7	0x58E4	# 壤 -- 253,327
0xABD8	0x51F6	# 凶 -- 253,330
0xABD9	0x5580	# 喀 -- 253,331
0xABDA	0x80CE	# 胎 -- 253,332
0xABDB	0x9838	# 頸 -- 253,333
0xABDC	0x8ECC	# 軌 -- 253,334
0xABDD	0x61A4	# 憤 -- 253,335
0xABDE	0x6F6D	# 潭 -- 253,336
0xABDF	0x9CF3	# 鳳 -- 253,337
0xABE0	0x7B4B	# 筋 -- 253,340
0xABE1	0x98FC	# 飼 -- 253,341
0xABE2	0x5824	# 堤 -- 253,342
0xABE3	0x626F	# 扯 -- 253,343
0xABE4	0x90B1	# 邱 -- 253,344
0xABE5	0x5353	# 卓 -- 253,345
0xABE6	0x8AFE	# 諾 -- 253,346
0xABE7	0x5E45	# 幅 -- 253,347
0xABE8	0x758B	# 疋 -- 253,350
0xABE9	0x7E6A	# 繪 -- 253,351
0xABEA	0x4EA8	# 亨 -- 253,352
0xABEB	0x6062	# 恢 -- 253,353
0xABEC	0x66F9	# 曹 -- 253,354
0xABED	0x676D	# 杭 -- 253,355
0xABEE	0x6F3F	# 漿 -- 253,356
0xABEF	0x6577	# 敷 -- 253,357
0xABF0	0x5C65	# 履 -- 253,360
0xABF1	0x8F44	# 轄 -- 253,361
0xABF2	0x937E	# 鍾 -- 253,362
0xABF3	0x66FC	# 曼 -- 253,363
0xABF4	0x6E3E	# 渾 -- 253,364
0xABF5	0x4F36	# 伶 -- 253,365
0xABF6	0x90A6	# 邦 -- 253,366
0xABF7	0x8178	# 腸 -- 253,367
0xABF8	0x965D	# 陝 -- 253,370
0xABF9	0x68CB	# 棋 -- 253,371
0xABFA	0x83F2	# 菲 -- 253,372
0xABFB	0x9D3F	# 鴿 -- 253,373
0xABFC	0x8180	# 膀 -- 253,374
0xABFD	0x80C3	# 胃 -- 253,375
0xABFE	0x8877	# 衷 -- 253,376
