
#   "274" UNIHAN

0xBC21	0x6EF9	# 滹 -- 274,041
0xBC22	0x6FB6	# 澶 -- 274,042
0xBC23	0x8DD7	# 跗 -- 274,043
0xBC24	0x6DDD	# 淝 -- 274,044
0xBC25	0x84CA	# 蓊 -- 274,045
0xBC26	0x705E	# 灞 -- 274,046
0xBC27	0x828E	# 芎 -- 274,047
0xBC28	0x7A79	# 穹 -- 274,050
0xBC29	0x5777	# 坷 -- 274,051
0xBC2A	0x4F97	# 侗 -- 274,052
0xBC2B	0x73A2	# 玢 -- 274,053
0xBC2C	0x5690	# 嚐 -- 274,054
0xBC2D	0x62A8	# 抨 -- 274,055
0xBC2E	0x82E3	# 苣 -- 274,056
0xBC2F	0x9588	# 閈 -- 274,057
0xBC30	0x73C8	# 珈 -- 274,060
0xBC31	0x7967	# 祧 -- 274,061
0xBC32	0x93DC	# 鏜 -- 274,062
0xBC33	0x59A3	# 妣 -- 274,063
0xBC34	0x7FA2	# 羢 -- 274,064
0xBC35	0x6523	# 攣 -- 274,065
0xBC36	0x71C1	# 燁 -- 274,066
0xBC37	0x665E	# 晞 -- 274,067
0xBC38	0x6C26	# 氦 -- 274,070
0xBC39	0x6C2C	# 氬 -- 274,071
0xBC3A	0x719B	# 熛 -- 274,072
0xBC3B	0x779F	# 瞟 -- 274,073
0xBC3C	0x55E5	# 嗥 -- 274,074
0xBC3D	0x6F8D	# 澍 -- 274,075
0xBC3E	0x6ECF	# 滏 -- 274,076
0xBC3F	0x7481	# 璁 -- 274,077
0xBC40	0x93E8	# 鏨 -- 274,100
0xBC41	0x9C63	# 鱣 -- 274,101
0xBC42	0x82EF	# 苯 -- 274,102
0xBC43	0x7A1E	# 稞 -- 274,103
0xBC44	0x662B	# 昫 -- 274,104
0xBC45	0x7C91	# 粑 -- 274,105
0xBC46	0x581D	# 堝 -- 274,106
0xBC47	0x509C	# 傜 -- 274,107
0xBC48	0x6EC6	# 滆 -- 274,110
0xBC49	0x6E12	# 渒 -- 274,111
0xBC4A	0x6EB3	# 溳 -- 274,112
0xBC4B	0x6F55	# 潕 -- 274,113
0xBC4C	0x7055	# 灕 -- 274,114
0xBC4D	0x923D	# 鈽 -- 274,115
0xBC4E	0x9139	# 鄹 -- 274,116
0xBC4F	0x6FC9	# 濉 -- 274,117
0xBC50	0x7CCC	# 糌 -- 274,120
0xBC51	0x7C30	# 簰 -- 274,121
0xBC52	0x77F8	# 矸 -- 274,122
0xBC53	0x76EF	# 盯 -- 274,123
0xBC54	0x6C98	# 沘 -- 274,124
0xBC55	0x73E6	# 珦 -- 274,125
0xBC56	0x5562	# 啢 -- 274,126
0xBC57	0x97EE	# 韮 -- 274,127
0xBC58	0x5692	# 嚒 -- 274,130
0xBC59	0x8473	# 葳 -- 274,131
0xBC5A	0x5472	# 呲 -- 274,132
0xBC5B	0x5E65	# 幥 -- 274,133
0xBC5C	0x6E63	# 湣 -- 274,134
0xBC5D	0x9C3D	# 鰽 -- 274,135
0xBC5E	0x8E82	# 躂 -- 274,136
0xBC5F	0x9F5C	# 齜 -- 274,137
0xBC60	0x9D6E	# 鵮 -- 274,140
0xBC61	0x4EDE	# 仞 -- 274,141
0xBC62	0x4F3B	# 伻 -- 274,142
0xBC63	0x4F5A	# 佚 -- 274,143
0xBC64	0x4F8F	# 侏 -- 274,144
0xBC65	0x4FD1	# 俑 -- 274,145
0xBC66	0x5005	# 倅 -- 274,146
0xBC67	0x501C	# 倜 -- 274,147
0xBC68	0x5025	# 倥 -- 274,150
0xBC69	0x4FF5	# 俵 -- 274,151
0xBC6A	0x509A	# 傚 -- 274,152
0xBC6B	0x50C2	# 僂 -- 274,153
0xBC6C	0x51BD	# 冽 -- 274,154
0xBC6D	0x5233	# 刳 -- 274,155
0xBC6E	0x5244	# 剄 -- 274,156
0xBC6F	0x5249	# 剉 -- 274,157
0xBC70	0x5257	# 剗 -- 274,160
0xBC71	0x5274	# 剴 -- 274,161
0xBC72	0x52AC	# 劬 -- 274,162
0xBC73	0x52E0	# 勠 -- 274,163
0xBC74	0x530F	# 匏 -- 274,164
0xBC75	0x537A	# 卺 -- 274,165
0xBC76	0x539D	# 厝 -- 274,166
0xBC77	0x5A23	# 娣 -- 274,167
0xBC78	0x5AA7	# 媧 -- 274,170
0xBC79	0x5AB5	# 媵 -- 274,171
0xBC7A	0x5B0B	# 嬋 -- 274,172
0xBC7B	0x5B08	# 嬈 -- 274,173
0xBC7C	0x5B16	# 嬖 -- 274,174
0xBC7D	0x5BE4	# 寤 -- 274,175
0xBC7E	0x5BD8	# 寘 -- 274,176
0xBCA1	0x5C3B	# 尻 -- 274,241
0xBCA2	0x555C	# 啜 -- 274,242
0xBCA3	0x5581	# 喁 -- 274,243
0xBCA4	0x5599	# 喙 -- 274,244
0xBCA5	0x55D4	# 嗔 -- 274,245
0xBCA6	0x560F	# 嘏 -- 274,246
0xBCA7	0x5616	# 嘖 -- 274,247
0xBCA8	0x5686	# 嚆 -- 274,250
0xBCA9	0x56C8	# 囈 -- 274,251
0xBCAA	0x56D3	# 囓 -- 274,252
0xBCAB	0x56F9	# 囹 -- 274,253
0xBCAC	0x5704	# 圄 -- 274,254
0xBCAD	0x5709	# 圉 -- 274,255
0xBCAE	0x57D2	# 埒 -- 274,256
0xBCAF	0x580A	# 堊 -- 274,257
0xBCB0	0x5880	# 墀 -- 274,260
0xBCB1	0x5C63	# 屣 -- 274,261
0xBCB2	0x5D22	# 崢 -- 274,262
0xBCB3	0x5D82	# 嶂 -- 274,263
0xBCB4	0x5DCB	# 巋 -- 274,264
0xBCB5	0x5E14	# 帔 -- 274,265
0xBCB6	0x5E40	# 幀 -- 274,266
0xBCB7	0x5E44	# 幄 -- 274,267
0xBCB8	0x5E6A	# 幪 -- 274,270
0xBCB9	0x5E8B	# 庋 -- 274,271
0xBCBA	0x5EA0	# 庠 -- 274,272
0xBCBB	0x5EA5	# 庥 -- 274,273
0xBCBC	0x5EDB	# 廛 -- 274,274
0xBCBD	0x5F89	# 徉 -- 274,275
0xBCBE	0x5F9C	# 徜 -- 274,276
0xBCBF	0x5FA8	# 徨 -- 274,277
0xBCC0	0x5FBC	# 徼 -- 274,300
0xBCC1	0x5FEE	# 忮 -- 274,301
0xBCC2	0x6026	# 怦 -- 274,302
0xBCC3	0x602B	# 怫 -- 274,303
0xBCC4	0x6042	# 恂 -- 274,304
